Player Name,Highest,Runs,Fifties,Fours,Sixes,Matches
Shreyas Iyer,100,250,3,53,34,16
Shreyas Iyer,57,282,1,20,7,17
Shreyas Iyer,100,602,3,53,34,16
Deepak Chahar,7,7,0,1,0,17
Deepak Chahar,39,50,0,1,4,12
Hardik Pandya,27,80,0,6,3,12
Hardik Pandya,68,141,1,8,10,16
Hardik Pandya,8,8,0,0,1,1
Hardik Pandya,6,10,0,1,1,6
Hardik Pandya,6,11,0,1,1,6
Hardik Pandya,62,195,1,22,5,17
Hardik Pandya,48,371,0,20,20,19
Hardik Pandya,23,121,0,11,3,18
Rohit Sharma,96,396,3,36,15,12
Rohit Sharma,67,162,1,17,6,6
Rohit Sharma,0,0,0,0,0,0
Rohit Sharma,54,303,2,26,7,15
Rohit Sharma,55,380,1,37,5,17
Rohit Sharma,73,398,3,29,17,13
Rohit Sharma,0,0,0,0,0,0
Irfan Pathan,0,0,0,0,0,0
MS Dhoni,84,416,3,22,23,15
MS Dhoni,79,455,3,24,30,16
MS Dhoni,70,392,2,25,23,16
MS Dhoni,84,416,3,22,23,15
MS Dhoni,57,371,1,22,20,16
MS Dhoni,53,372,1,27,17,17
MS Dhoni,51,358,1,26,9,19
MS Dhoni,66,287,2,26,8,13
MS Dhoni,53,372,1,27,17,17
MS Dhoni,67,461,4,32,25,18
MS Dhoni,65,414,2,38,15,16
MS Dhoni,58,332,2,22,9,14
Ravindra Jadeja,31,106,0,7,4,16
Ravindra Jadeja,27,89,0,3,4,16
Ravindra Jadeja,36,146,0,9,5,16
Ravindra Jadeja,48,191,0,13,9,19
Ravindra Jadeja,24,132,0,7,3,17
Ravindra Jadeja,38,201,0,17,6,18
Ravindra Jadeja,38,201,0,17,6,18
Surya Kumar Yadav,0,0,0,0,0,1
Surya Kumar Yadav,56,108,1,8,5,10
Ravichandran Ashwin,96,398,3,42,20,17
Ravichandran Ashwin,117,555,2,44,35,15
Shardul Thakur,12,14,0,1,1,10
Shardul Thakur,15,15,0,3,0,13
Virat Kohli,59,383,3,45,9,17
Virat Kohli,59,383,3,45,9,17
Virat Kohli,87,523,5,51,19,16
Virat Kohli,75,445,4,46,12,15
Virat Kohli,73,438,4,36,17,16
Virat Kohli,87,523,5,51,19,16
Virat Kohli,73,441,1,36,19,19
Virat Kohli,83,520,4,45,22,16
Virat Kohli,62,374,2,31,16,17
Virat Kohli,100,548,4,50,18,18
Virat Kohli,55,421,3,35,18,16
Virat Kohli,98,434,2,37,21,14
Jasprit Bumrah,0,0,0,0,0,5
