Player Name,Batting Average,Batting Strike Rate,Bowling Average,Catches,Stumping,Wickets
Shreyas Iyer,43,149.75,0,2,0,0
Shreyas Iyer,23.5,93.06,0,6,0,0
Shreyas Iyer,43,149.75,0,2,0,0
Deepak Chahar,3.5,77.77,21.9,2,0,22
Deepak Chahar,16.66,172.41,27.8,1,0,10
Hardik Pandya,16,121.21,30,5,0,11
Hardik Pandya,35.25,154.94,38.07,9,0,14
Hardik Pandya,0,266.66,0,0,0,0
Hardik Pandya,11,183.33,26.16,2,0,6
Hardik Pandya,11,183.33,26.16,3,0,6
Hardik Pandya,21.66,131.75,16.38,13,0,26
Hardik Pandya,46.37,140.53,30.73,9,0,15
Hardik Pandya,15.12,114.15,15.53,14,0,32
Rohit Sharma,36,123.36,0,12,0,0
Rohit Sharma,32.4,125.58,0,1,0,0
Rohit Sharma,0,0,0,0,0,0
Rohit Sharma,27.54,128.93,0,13,0,0
Rohit Sharma,29.23,125,0,8,0,0
Rohit Sharma,33.16,130.92,0,4,0,0
Rohit Sharma,0,0,0,0,0,0
Irfan Pathan,0,0,0,0,0,0
MS Dhoni,83.2,134.62,0,11,5,0
MS Dhoni,75.83,150.66,0,11,3,0
MS Dhoni,43.55,158.7,0,5,5,0
MS Dhoni,83.2,134.62,0,11,5,0
MS Dhoni,74.2,148.4,0,3,1,0
MS Dhoni,31,121.96,0,8,3,0
MS Dhoni,29.83,128.77,0,12,2,0
MS Dhoni,31.88,136.66,0,5,6,0
MS Dhoni,31,121.96,0,8,3,0
MS Dhoni,41.9,162.89,0,15,2,0
MS Dhoni,41.4,133.54,0,6,0,0
MS Dhoni,41.5,127.2,0,4,4,0
Ravindra Jadeja,35.33,120.45,22.86,9,0,15
Ravindra Jadeja,17.8,120.27,27.54,11,0,11
Ravindra Jadeja,29.2,132.72,23.31,4,0,19
Ravindra Jadeja,15.91,126.49,22.75,2,0,12
Ravindra Jadeja,18.85,104.76,30,13,0,11
Ravindra Jadeja,25.12,148.88,24.84,6,0,13
Ravindra Jadeja,25.12,148.88,24.84,6,0,15
Surya Kumar Yadav,0,0,0,1,0,0
Surya Kumar Yadav,13.5,138.46,0,5,0,0
Ravichandran Ashwin,23.41,127.56,0,6,0,0
Ravichandran Ashwin,39.64,154.59,41.83,3,0,6
Shardul Thakur,7,200,35.12,5,0,8
Shardul Thakur,0,300,26.93,4,0,16
Virat Kohli,23.93,121.97,80,7,0,0
Virat Kohli,23.93,121.97,100,7,0,0
Virat Kohli,40.23,146.08,134,11,0,1
Virat Kohli,37.08,132.44,0,9,0,0
Virat Kohli,31.28,134.76,50.25,4,0,4
Virat Kohli,40.23,146.08,35,11,0,1
Virat Kohli,25.94,135.69,52.5,11,0,2
Virat Kohli,47.27,142.85,29.66,10,0,6
Virat Kohli,24.93,123.02,46.5,11,0,2
Virat Kohli,42.15,150.13,23,10,0,1
Virat Kohli,38.27,142.22,30,10,0,1
Virat Kohli,31,140.9,23.42,7,0,7
Jasprit Bumrah,0,0,41.5,0,0,4
